Data_Referencia,COGNOM,Valor,ORDRE_COGNOM
2025-01-01,DELGADO,2677,1
2025-01-01,MARTI,2675,2
2025-01-01,RUBIO,2668,1
2025-01-01,DELGADO,2667,2
2025-01-01,SINGH,2640,1
2025-01-01,MEDINA,2624,1
2025-01-01,ORTEGA,2610,1
2025-01-01,VILA,2595,1
2025-01-01,SOLER,2587,2
2025-01-01,NUÑEZ,2574,1
2025-01-01,RUBIO,2563,2
2025-01-01,SERRA,2501,1
2025-01-01,BLANCO,2498,2
2025-01-01,NUÑEZ,2497,2
2025-01-01,CRUZ,2465,2
2025-01-01,ROJAS,2464,1
2025-01-01,BLANCO,2454,1
2025-01-01,ALI,2441,1
2025-01-01,MENDEZ,2433,1
2025-01-01,AGUILAR,2387,1
2025-01-01,SERRA,2374,2
2025-01-01,CRUZ,2373,1
2025-01-01,MENDEZ,2359,2
2025-01-01,AHMED,2353,1
2025-01-01,SANZ,2348,1
2025-01-01,PUIG,2337,1
2025-01-01,SANZ,2319,2
2025-01-01,VILA,2275,2
2025-01-01,AGUILAR,2262,2
2025-01-01,ROCA,2250,1
2025-01-01,CORTES,2245,2
2025-01-01,ROJAS,2240,2
2025-01-01,ROCA,2232,2
2025-01-01,CORTES,2225,1
2025-01-01,PASCUAL,2222,1
2025-01-01,REYES,2178,2
2025-01-01,PEÑA,2171,2
2025-01-01,CHEN,2152,1
2025-01-01,REYES,2143,1
2025-01-01,HERRERA,2139,1
2025-01-01,SUAREZ,2135,1
2025-01-01,PASCUAL,2121,2
2025-01-01,PUIG,2111,2
2025-01-01,PEÑA,2084,1
2025-01-01,VARGAS,2075,2
2025-01-01,SANTOS,2051,2
2025-01-01,HERRERA,2047,2
2025-01-01,VARGAS,2038,1
2025-01-01,GUERRERO,2010,2
2025-01-01,LEON,1995,1
2025-01-01,CAMPOS,1989,1
2025-01-01,SUAREZ,1975,2
2025-01-01,DURAN,1966,1
2025-01-01,SANTOS,1962,1
2025-01-01,LEON,1950,2
2025-01-01,GUERRERO,1947,1
2025-01-01,LOZANO,1939,2
2025-01-01,IBAÑEZ,1887,2
2025-01-01,CAMPOS,1883,2
2025-01-01,LOZANO,1877,1
2025-01-01,CANO,1872,2
2025-01-01,IBAÑEZ,1871,1
2025-01-01,ARIAS,1867,2
2025-01-01,ARIAS,1853,1
2025-01-01,DURAN,1851,2
2025-01-01,HUSSAIN,1815,1
2025-01-01,MENDOZA,1814,2
2025-01-01,CALVO,1800,1
2025-01-01,RIVERA,1792,1
2025-01-01,CANO,1786,1
2025-01-01,COSTA,1786,1
2025-01-01,MENDOZA,1733,1
2025-01-01,CALVO,1732,2
2025-01-01,PONS,1716,1
2025-01-01,FONT,1696,1
2025-01-01,SEGURA,1690,1
2025-01-01,SOLE,1685,2
2025-01-01,RIVERA,1673,2
2025-01-01,SOLE,1655,1
2025-01-01,FUENTES,1649,1
2025-01-01,CASAS,1640,1
2025-01-01,PONS,1632,2
2025-01-01,IGLESIAS,1620,2
2025-01-01,WANG,1619,1
2025-01-01,MARQUEZ,1618,1
2025-01-01,COSTA,1611,2
2025-01-01,SILVA,1611,1
2025-01-01,SEGURA,1605,2
2025-01-01,MARQUEZ,1602,2
2025-01-01,MORA,1593,2
2025-01-01,MORA,1584,1
2025-01-01,GARRIDO,1581,2
2025-01-01,PUJOL,1580,1
2025-01-01,GRAU,1570,1
2025-01-01,BEGUM,1569,2
2025-01-01,FUENTES,1563,2
2025-01-01,IGLESIAS,1563,1
2025-01-01,CASAS,1557,2
2025-01-01,SILVA,1552,2
2025-01-01,PUJOL,1550,2
2025-01-01,FONT,1536,2
2025-01-01,CABRERA,1533,1
2025-01-01,ZHANG,1512,1
2025-01-01,GARRIDO,1504,1
2025-01-01,CARRASCO,1497,1
2025-01-01,GRACIA,1468,2
2025-01-01,ROIG,1457,1
2025-01-01,SALA,1453,1
2025-01-01,ROVIRA,1449,1
2025-01-01,SOTO,1440,1
2025-01-01,CABRERA,1437,2
2025-01-01,FRANCO,1437,1
2025-01-01,VASQUEZ,1435,1
2025-01-01,GALLEGO,1433,2
2025-01-01,VASQUEZ,1427,2
2025-01-01,SOTO,1423,2
2025-01-01,MAS,1414,1
2025-01-01,GRACIA,1413,1
2025-01-01,VEGA,1411,1
2025-01-01,RIERA,1406,1
2025-01-01,VICENTE,1404,2
2025-01-01,CABALLERO,1403,1
2025-01-01,FRANCO,1397,2
2025-01-01,SALA,1397,2
2025-01-01,MONTERO,1391,2
2025-01-01,HIDALGO,1390,2
2025-01-01,GALLEGO,1386,1
2025-01-01,PRIETO,1385,2
2025-01-01,GRAU,1381,2
2025-01-01,VALLS,1378,1
2025-01-01,ROVIRA,1370,2
2025-01-01,VICENTE,1366,1
2025-01-01,VEGA,1362,2
2025-01-01,ROIG,1359,2
2025-01-01,MAS,1358,2
2025-01-01,HIDALGO,1357,1
2025-01-01,CABALLERO,1355,2
2025-01-01,RIERA,1354,2
2025-01-01,DIEZ,1350,2
2025-01-01,PRIETO,1341,1
2025-01-01,CARRASCO,1340,2
2025-01-01,MONTERO,1332,1
2025-01-01,KHAN,1331,1
2025-01-01,VERA,1330,2
2025-01-01,BOSCH,1328,1
2025-01-01,PASTOR,1322,2
2025-01-01,DOMENECH,1321,1
2025-01-01,TOMAS,1306,1
2025-01-01,VALLS,1300,2
2025-01-01,DIEZ,1299,1
2025-01-01,PARRA,1298,2
2025-01-01,GARCIA,1291,3
2025-01-01,SORIANO,1291,1
2025-01-01,SIERRA,1287,1
2025-01-01,TOMAS,1283,2
2025-01-01,VERA,1280,1
2025-01-01,PARRA,1278,1
2025-01-01,RIOS,1278,1
2025-01-01,SALAZAR,1278,1
2025-01-01,SIERRA,1270,2
2025-01-01,SORIANO,1251,2
2025-01-01,NIETO,1250,2
2025-01-01,BENITEZ,1247,1
2025-01-01,HERRERO,1246,1
2025-01-01,NIETO,1242,1
2025-01-01,PARDO,1230,1
2025-01-01,BOSCH,1229,2
2025-01-01,GALLARDO,1227,1
2025-01-01,DOMINGO,1219,2
2025-01-01,DOMINGO,1215,1
2025-01-01,LI,1215,1
2025-01-01,DOMENECH,1211,2
2025-01-01,GUZMAN,1209,1
2025-01-01,ESTEBAN,1206,1
2025-01-01,GUZMAN,1197,2
2025-01-01,RIVAS,1192,1
2025-01-01,CARMONA,1189,1
2025-01-01,CARRILLO,1185,1
2025-01-01,LIN,1185,1
2025-01-01,RIOS,1182,2
2025-01-01,RIVAS,1177,2
2025-01-01,HERRERO,1176,2
2025-01-01,BELTRAN,1174,2
2025-01-01,ESTEBAN,1172,2
2025-01-01,SALVADOR,1169,1
2025-01-01,BENITEZ,1167,2
2025-01-01,BLASCO,1167,2
2025-01-01,SALAZAR,1165,2
2025-01-01,MOYA,1163,2
2025-01-01,VILLANUEVA,1161,2
2025-01-01,CARMONA,1158,2
2025-01-01,PARDO,1156,2
2025-01-01,PEREIRA,1151,1
2025-01-01,ANDRES,1140,1
2025-01-01,BRAVO,1139,2
2025-01-01,CRESPO,1137,1
2025-01-01,BIBI,1135,2
2025-01-01,CRESPO,1135,2
2025-01-01,PASTOR,1133,1
2025-01-01,BELTRAN,1132,1
2025-01-01,PAREDES,1131,2
2025-01-01,ROS,1126,1
2025-01-01,MIRANDA,1124,1
2025-01-01,SALVADOR,1123,2
2025-01-01,CONTRERAS,1119,2
2025-01-01,VILLANUEVA,1118,1
2025-01-01,GALLARDO,1117,2
2025-01-01,VIVES,1116,1
2025-01-01,ROMAN,1115,1
2025-01-01,BRAVO,1114,1
2025-01-01,IZQUIERDO,1114,2
2025-01-01,COLL,1108,2
2025-01-01,PAREDES,1102,1
2025-01-01,RIBAS,1101,1
2025-01-01,LIU,1100,1
2025-01-01,VELASCO,1098,1
2025-01-01,GIMENO,1090,2
2025-01-01,ACOSTA,1088,1
2025-01-01,CONTRERAS,1088,1
2025-01-01,MOYA,1087,1
2025-01-01,BLASCO,1085,1
2025-01-01,ANDREU,1073,1
2025-01-01,ROS,1066,2
2025-01-01,GIMENO,1065,1
2025-01-01,ANDRES,1063,2
2025-01-01,SOLA,1061,2
2025-01-01,VALERO,1059,2
2025-01-01,ESPINOSA,1055,1
2025-01-01,ANDREU,1054,2
2025-01-01,CARRILLO,1053,2
2025-01-01,MIRANDA,1053,2
2025-01-01,SAEZ,1052,2
2025-01-01,GUILLEN,1045,2
2025-01-01,SAEZ,1043,1
2025-01-01,VENTURA,1042,1
2025-01-01,MEJIA,1040,1
2025-01-01,AGUILERA,1038,1
2025-01-01,LARA,1034,1
2025-01-01,CALDERON,1031,2
2025-01-01,ROMAN,1027,2
2025-01-01,VENTURA,1027,2
2025-01-01,ACOSTA,1025,2
2025-01-01,CARDONA,1024,1
2025-01-01,IZQUIERDO,1023,1
2025-01-01,SOLA,1021,1
2025-01-01,CALDERON,1020,1
2025-01-01,AVILA,1019,1
2025-01-01,VIVES,1016,2
2025-01-01,VELASCO,1014,2
2025-01-01,COLL,1012,1
2025-01-01,VALERO,1010,1
2025-01-01,GUILLEN,1007,1
2025-01-01,AGUILERA,1006,2
2025-01-01,ESCOBAR,1004,2
2025-01-01,SALAS,1001,2
2025-01-01,LARA,1000,2
2025-01-01,PALACIOS,998,2
2025-01-01,RIBAS,995,2
2025-01-01,MATEO,991,2
2025-01-01,ESCOBAR,989,1
2025-01-01,SANCHO,988,2
2025-01-01,AVILA,975,2
2025-01-01,MEJIA,975,2
2025-01-01,FARRE,970,2
2025-01-01,ROBLES,970,2
2025-01-01,ESPINOSA,968,2
2025-01-01,SALAS,968,1
2025-01-01,ESTEVE,963,1
2025-01-01,CHAVEZ,961,2
2025-01-01,MONTES,958,2
2025-01-01,VALENCIA,958,1
2025-01-01,CARBONELL,956,1
2025-01-01,SANTIAGO,956,1
2025-01-01,CHAVEZ,955,1
2025-01-01,SANTIAGO,955,2
2025-01-01,VALENCIA,954,2
2025-01-01,MONTES,950,1
2025-01-01,ALARCON,947,2
2025-01-01,CASANOVAS,946,1
2025-01-01,ABAD,945,2
2025-01-01,MATEO,944,1
2025-01-01,PEREIRA,943,2
2025-01-01,PADILLA,935,1
2025-01-01,ROBLES,932,1
2025-01-01,MERINO,930,1
2025-01-01,ESTEVE,924,2
2025-01-01,ABAD,923,1
2025-01-01,BONET,923,1
2025-01-01,CAMACHO,920,2
2025-01-01,SANCHO,919,1
2025-01-01,OLIVA,918,1
2025-01-01,FARRE,915,1
2025-01-01,ALARCON,912,1
2025-01-01,BERNAL,905,1
2025-01-01,MALDONADO,905,1
2025-01-01,PADILLA,905,2
2025-01-01,BORRAS,904,1
2025-01-01,LAZARO,903,2
2025-01-01,BERNAL,901,2
2025-01-01,BORRAS,896,2
2025-01-01,CARDONA,895,2
2025-01-01,CUEVAS,892,1
2025-01-01,DA SILVA,890,2
2025-01-01,MALDONADO,889,2
2025-01-01,PALACIOS,885,1
2025-01-01,RAMON,885,1
2025-01-01,CUEVAS,883,2
2025-01-01,PRAT,881,1
2025-01-01,PRATS,881,1
2025-01-01,CASADO,880,1
2025-01-01,WU,876,1
2025-01-01,APARICIO,875,1
2025-01-01,LUNA,868,1
2025-01-01,MIRO,867,1
2025-01-01,MERINO,866,2
2025-01-01,OLIVA,866,2
2025-01-01,PLA,866,2
2025-01-01,SIMON,865,1
2025-01-01,LAZARO,864,1
2025-01-01,HURTADO,862,1
2025-01-01,BUENO,860,2
2025-01-01,MURILLO,859,2
2025-01-01,SANS,859,1
2025-01-01,ZAMORA,859,2
2025-01-01,CAMACHO,858,1
2025-01-01,IQBAL,857,1
2025-01-01,MURILLO,857,1
2025-01-01,LOPEZ,851,3
2025-01-01,VALLES,849,1
2025-01-01,APARICIO,848,2
2025-01-01,BONET,840,2
2025-01-01,CARBONELL,837,2
2025-01-01,CASANOVAS,836,2
2025-01-01,YE,835,1
2025-01-01,CARDENAS,834,1
2025-01-01,ESTRADA,831,2
2025-01-01,PONCE,831,1
2025-01-01,MONTOYA,828,2
2025-01-01,SANTAMARIA,828,2
2025-01-01,HURTADO,819,2
2025-01-01,LUQUE,818,1
2025-01-01,LORENZO,817,2
2025-01-01,ASENSIO,815,2
2025-01-01,AMAYA,813,1
2025-01-01,ASENSIO,813,1
2025-01-01,BENITO,813,1
2025-01-01,BUENO,813,1
2025-01-01,ARROYO,812,2
2025-01-01,MIRO,812,2
2025-01-01,MARTINEZ,811,3
2025-01-01,KAUR,809,1
2025-01-01,MARCO,808,1
2025-01-01,VARELA,808,1
2025-01-01,ESPINOZA,806,1
2025-01-01,MARCO,806,2
2025-01-01,ESTRADA,805,1
2025-01-01,CASADO,804,2
2025-01-01,XU,804,1
2025-01-01,PRAT,803,2
2025-01-01,GUERRA,801,1
2025-01-01,JUAN,798,2
2025-01-01,PONCE,798,2
2025-01-01,PRATS,797,2
2025-01-01,RAMON,797,2
2025-01-01,CODINA,796,1
2025-01-01,LUNA,796,2
2025-01-01,ZAMORA,796,1
2025-01-01,ARROYO,794,1
2025-01-01,CARDENAS,789,2
2025-01-01,LUQUE,789,2
2025-01-01,GUERRA,786,2
2025-01-01,BARRERA,783,2
2025-01-01,ORDOÑEZ,781,1
2025-01-01,BARRERA,775,1
2025-01-01,RODRIGUEZ,774,3
2025-01-01,ZAPATA,773,2
2025-01-01,SIMON,772,2
2025-01-01,PINEDA,770,1
2025-01-01,PACHECO,769,1
2025-01-01,MATA,766,1
2025-01-01,MIGUEL,766,2
2025-01-01,DE LA CRUZ,764,2
2025-01-01,MILLAN,762,2
2025-01-01,PINEDA,760,2
2025-01-01,MIRALLES,758,1
2025-01-01,VARELA,758,2
2025-01-01,AHMAD,756,1
2025-01-01,ARANDA,756,1
2025-01-01,ALVARADO,755,2
2025-01-01,MILLAN,754,1
2025-01-01,KAUR,753,2
2025-01-01,PACHECO,753,2
2025-01-01,BADIA,752,1
2025-01-01,CAPDEVILA,752,1
2025-01-01,SANTAMARIA,751,1
2025-01-01,PLA,750,1
2025-01-01,VELASQUEZ,748,1
2025-01-01,LORENZO,747,1
2025-01-01,CARRERAS,746,1
2025-01-01,VALLES,745,2
2025-01-01,ZAMBRANO,745,1
2025-01-01,ZHOU,743,1
2025-01-01,BENITO,741,2
2025-01-01,CARRERA,741,2
2025-01-01,DE LA CRUZ,740,1
2025-01-01,ESPINOZA,739,2
2025-01-01,ZAMBRANO,738,2
2025-01-01,MACIAS,737,1
2025-01-01,MATEU,733,1
2025-01-01,VELASQUEZ,733,2
2025-01-01,COLLADO,732,2
2025-01-01,HEREDIA,732,1
2025-01-01,SANS,732,2
2025-01-01,FERRE,730,2
2025-01-01,MATEU,730,2
2025-01-01,VILLAR,730,1
2025-01-01,HEREDIA,729,2
2025-01-01,ROLDAN,729,2
2025-01-01,ZAPATA,729,1
2025-01-01,ARANDA,728,2
2025-01-01,MIGUEL,728,1
2025-01-01,SALINAS,727,1
2025-01-01,MACIAS,725,2
2025-01-01,PLANAS,725,1
2025-01-01,REY,725,2
2025-01-01,QUINTANA,724,1
2025-01-01,REY,724,1
2025-01-01,BERTRAN,723,1
2025-01-01,BAUTISTA,722,2
2025-01-01,GALVEZ,722,2
2025-01-01,MATA,722,2
2025-01-01,ROYO,721,2
2025-01-01,SALINAS,721,2
2025-01-01,CORREA,720,1
2025-01-01,FERNANDEZ,717,3
2025-01-01,PERALTA,717,1
2025-01-01,AYALA,716,2
2025-01-01,DA SILVA,714,1
2025-01-01,ESCUDERO,712,2
2025-01-01,FIGUERAS,712,1
2025-01-01,LLORENS,711,1
2025-01-01,MUHAMMAD,711,1
2025-01-01,AYALA,709,1
2025-01-01,FERRE,709,1
2025-01-01,RIUS,709,1
2025-01-01,ALVARADO,708,1
2025-01-01,BADIA,708,2
2025-01-01,JUAN,708,1
2025-01-01,GALVEZ,707,1
2025-01-01,MARQUES,707,1
2025-01-01,CATALAN,706,1
2025-01-01,BAUTISTA,705,1
2025-01-01,SALGADO,705,1
2025-01-01,CODINA,704,2
2025-01-01,CORREA,704,2
2025-01-01,TAPIA,703,1
2025-01-01,ESCUDERO,702,1
2025-01-01,SORIA,698,1
2025-01-01,MIRALLES,696,2
2025-01-01,CATALAN,695,2
2025-01-01,FIGUERAS,694,2
2025-01-01,ORDOÑEZ,692,2
2025-01-01,AGUIRRE,691,1
2025-01-01,MONTOYA,690,1
2025-01-01,PINTO,690,1
2025-01-01,QUINTANA,690,2
2025-01-01,RIVERO,690,1
2025-01-01,LINARES,689,2
2025-01-01,QUINTERO,686,2
2025-01-01,REDONDO,686,2
2025-01-01,ANTON,685,2
2025-01-01,CARRERAS,685,2
2025-01-01,CASTELLS,685,1
2025-01-01,GARRIGA,685,1
2025-01-01,BERTRAN,683,2
2025-01-01,SORIA,683,2
2025-01-01,LATORRE,682,1
2025-01-01,MARCOS,682,2
2025-01-01,PLANAS,682,2
2025-01-01,CASTELLS,680,2
2025-01-01,CASALS,679,2
2025-01-01,VALVERDE,679,2
2025-01-01,CASALS,678,1
2025-01-01,BERMUDEZ,677,2
2025-01-01,ROLDAN,676,1
2025-01-01,CACERES,674,1
2025-01-01,VALLE,673,1
2025-01-01,OLIVER,672,1
2025-01-01,RIVERO,671,2
2025-01-01,VILLEGAS,671,2
2025-01-01,EXPOSITO,669,2
2025-01-01,CAMPS,666,1
2025-01-01,CAMPS,664,2
2025-01-01,MARCOS,664,1
2025-01-01,AMAYA,663,2
2025-01-01,LATORRE,663,2
2025-01-01,LINARES,662,1
2025-01-01,PALAU,661,1
2025-01-01,CAPDEVILA,660,2
2025-01-01,GALINDO,660,1
2025-01-01,PERALTA,659,2
2025-01-01,RICO,658,2
2025-01-01,COLLADO,655,1
2025-01-01,PLAZA,655,2
2025-01-01,BONILLA,652,2
2025-01-01,OSORIO,652,1
2025-01-01,CARRERA,651,1
2025-01-01,ANTON,649,1
2025-01-01,REDONDO,649,1
2025-01-01,SABATE,644,1
2025-01-01,RUEDA,642,2
2025-01-01,PINTO,641,2
2025-01-01,RUEDA,641,1
2025-01-01,AGUIRRE,640,2
2025-01-01,CACERES,640,2
2025-01-01,VALVERDE,639,1
2025-01-01,JURADO,638,2
2025-01-01,LORENTE,638,1
2025-01-01,GALINDO,637,2
2025-01-01,VILLAR,636,2
2025-01-01,ROYO,634,1
2025-01-01,ALCARAZ,633,1
2025-01-01,LORENTE,632,2
2025-01-01,GALAN,631,1
2025-01-01,PALAU,631,2
2025-01-01,SALGADO,631,2
2025-01-01,YANG,629,1
2025-01-01,CASANOVA,626,1
2025-01-01,VILLEGAS,626,1
2025-01-01,MANZANO,625,1
2025-01-01,VILLALBA,624,1
2025-01-01,NADAL,622,2
2025-01-01,CONDE,619,2
2025-01-01,RICO,618,1
2025-01-01,COMAS,617,1
2025-01-01,JUAREZ,617,1
2025-01-01,NADAL,617,1
2025-01-01,GONZALEZ,615,3
2025-01-01,OSORIO,615,2
2025-01-01,RIUS,613,2
2025-01-01,BERMUDEZ,611,1
2025-01-01,LLORENS,609,2
2025-01-01,PALLARES,609,2
2025-01-01,VALLE,609,2
2025-01-01,OLIVER,608,2
2025-01-01,TRUJILLO,608,2
2025-01-01,PLAZA,605,1
2025-01-01,FERREIRA,603,1
2025-01-01,OTERO,602,1
2025-01-01,CONDE,601,1
2025-01-01,VILLALBA,600,2
2025-01-01,MANZANO,597,2
2025-01-01,MARQUES,596,2
2025-01-01,CARVAJAL,595,2
2025-01-01,GONZALES,595,1
2025-01-01,SANTANA,595,2
2025-01-01,TORRAS,594,1
2025-01-01,CASTAÑO,593,2
2025-01-01,RIBERA,592,1
2025-01-01,SOSA,590,1
2025-01-01,POLO,589,1
2025-01-01,SANTANA,588,1
2025-01-01,ZHU,588,1
2025-01-01,TAPIA,587,2
2025-01-01,RAHMAN,585,1
2025-01-01,BURGOS,583,2
2025-01-01,FIGUEROA,583,1
2025-01-01,OTERO,582,2
2025-01-01,SANDOVAL,582,1
2025-01-01,COMAS,581,2
2025-01-01,DUARTE,581,1
2025-01-01,GUEVARA,580,2
2025-01-01,QUINTERO,580,1
2025-01-01,ISLAM,579,1
2025-01-01,PALLARES,579,1
2025-01-01,POLO,578,2
2025-01-01,VALLEJO,578,2
2025-01-01,CASTAÑO,577,1
2025-01-01,PAZ,576,1
2025-01-01,GONZALES,575,2
2025-01-01,MIR,575,1
2025-01-01,PEREZ,575,3
2025-01-01,FIGUEROA,572,2
2025-01-01,SANDOVAL,572,2
2025-01-01,BLANCH,570,1
2025-01-01,GALAN,570,2
2025-01-01,BONILLA,569,1
2025-01-01,JURADO,569,1
2025-01-01,ROSALES,569,1
2025-01-01,GASCON,567,1
2025-01-01,PAZ,567,2
2025-01-01,PORTA,566,1
2025-01-01,RIBERA,564,2
2025-01-01,VIÑAS,564,2
2025-01-01,GARRIGA,563,2
2025-01-01,JUAREZ,563,2
2025-01-01,DUARTE,562,2
2025-01-01,OCHOA,562,1
2025-01-01,QUESADA,561,1
2025-01-01,SABATE,561,2
2025-01-01,PAGES,559,1
2025-01-01,DALMAU,558,1
2025-01-01,HERNANDO,558,2
2025-01-01,NOGUERA,558,1
2025-01-01,CARVAJAL,557,1
2025-01-01,DOS SANTOS,557,2
2025-01-01,CERVERA,556,1
2025-01-01,HERNANDO,556,1
2025-01-01,QUESADA,556,2
2025-01-01,CANALS,555,1
2025-01-01,NAVAS,555,2
2025-01-01,SAAVEDRA,555,1
2025-01-01,GUEVARA,554,1
2025-01-01,MESTRE,551,1
2025-01-01,PAGES,550,2
2025-01-01,ROSELL,550,1
2025-01-01,TRUJILLO,550,1
2025-01-01,BURGOS,549,1
2025-01-01,RODRIGO,549,1
2025-01-01,VELEZ,548,1
2025-01-01,GARCES,547,1
2025-01-01,VALLEJO,546,1
2025-01-01,ALSINA,545,2
2025-01-01,MATEOS,545,1
2025-01-01,MIR,544,2
2025-01-01,OCHOA,543,2
2025-01-01,SAAVEDRA,542,2
2025-01-01,EXPOSITO,541,1
2025-01-01,ALCARAZ,540,2
2025-01-01,ARMENGOL,540,1
2025-01-01,ALBA,539,1
2025-01-01,CERVERA,538,2
2025-01-01,MARTOS,537,2
2025-01-01,VELEZ,536,2
2025-01-01,GARCES,535,2
2025-01-01,JULIA,533,1
2025-01-01,DE LA FUENTE,532,2
2025-01-01,NOGUERA,532,2
2025-01-01,BALLESTEROS,531,2
2025-01-01,DALMAU,529,2
2025-01-01,ROSELL,528,2
2025-01-01,BARRIOS,527,2
2025-01-01,ALSINA,525,1
2025-01-01,CUENCA,523,1
2025-01-01,SOSA,523,2
2025-01-01,CASTELLO,522,2
2025-01-01,ESTEVEZ,522,2
2025-01-01,BALLESTER,520,1
2025-01-01,SEGARRA,520,1
2025-01-01,AMADOR,517,2
2025-01-01,ARENAS,516,1
2025-01-01,RODRIGO,516,2
2025-01-01,BARRIOS,514,1
2025-01-01,BATLLE,514,1
2025-01-01,CHACON,514,1
2025-01-01,POZO,514,1
2025-01-01,ROSALES,514,2
2025-01-01,BLANCH,513,2
2025-01-01,BATISTA,512,1
2025-01-01,DE LA FUENTE,512,1
2025-01-01,LUCAS,511,1
2025-01-01,MORAN,511,1
2025-01-01,VERGARA,511,2
2025-01-01,ABBAS,510,1
2025-01-01,ESTEVEZ,510,1
2025-01-01,ALFONSO,509,2
2025-01-01,AMADOR,509,1
2025-01-01,MORAN,509,2
2025-01-01,ALFONSO,508,1
2025-01-01,BARBA,508,1
2025-01-01,GUASCH,508,1
2025-01-01,VIÑAS,508,1
2025-01-01,CUESTA,507,2
2025-01-01,QUISPE,507,2
2025-01-01,CUESTA,506,1
2025-01-01,SOLANO,506,1
2025-01-01,SEGARRA,505,2
2025-01-01,ANDRADE,503,1
2025-01-01,MESA,503,2
2025-01-01,CLEMENTE,502,2
2025-01-01,ALCANTARA,501,2
2025-01-01,AZNAR,501,1
2025-01-01,LEAL,501,2
2025-01-01,CHACON,500,2
2025-01-01,LUCAS,499,2
2025-01-01,MESTRE,499,2
2025-01-01,ALCANTARA,498,1
2025-01-01,ANDRADE,498,2
2025-01-01,BEGUM,498,1
2025-01-01,CASANOVA,498,2
2025-01-01,VILLA,498,1
2025-01-01,BALLESTER,496,2
2025-01-01,CASTELLO,496,1
2025-01-01,MATEOS,496,2
2025-01-01,BERMEJO,495,2
2025-01-01,FERREIRA,495,2
2025-01-01,MARTOS,494,1
2025-01-01,ALEGRE,493,1
2025-01-01,SANCHEZ,492,3
2025-01-01,SOLANO,491,2
2025-01-01,SOLIS,491,1
2025-01-01,SOLIS,491,2
2025-01-01,ARENAS,490,2
2025-01-01,OROZCO,490,1
2025-01-01,POZO,490,2
2025-01-01,PALMA,489,1
2025-01-01,RIPOLL,489,1
2025-01-01,MESTRES,488,1
2025-01-01,RIPOLL,488,2
2025-01-01,QUISPE,487,1
2025-01-01,LLOBET,486,1
2025-01-01,LEAL,483,1
